iter;Cost;Best Cost;sim_time;eval_time;valid_runs;kp_pos_x;kp_pos_y;kp_pos_z;kd_pos_x;kd_pos_y;kd_pos_z;kp_or_x;kp_or_y;kp_or_z;kd_or_x;kd_or_y;kd_or_z
87;98.7148;16.3319;21.66;21.66;1;33.1481;142.284;161.173;79.6914;30.9259;46.9753;78.5278;1.97222;0.990741;0.173148;19.6306;0.419444
88;97.7272;16.3319;22.7952;22.7952;1;58.3333;171.667;115;71.6667;38.3333;56.8519;40.25;7.86111;63.8056;3.375;16.675;3.6213
89;100.733;16.3319;27.3029;27.3029;1;196.852;39.4444;41.5432;38.3333;79.0741;42.037;13.75;78.5278;75.5833;19.6306;1.15833;1.89722
90;101.895;16.3319;25.8041;25.8041;1;171.667;171.667;58.3333;38.3333;71.6667;38.3333;13.75;40.25;13.75;16.675;3.375;7.80833
91;96.3003;16.3319;20.6317;20.6317;1;196.852;33.1481;180.062;67.3457;45.7407;74.1358;69.6944;53.0093;78.5278;6.33056;15.4435;19.6306
92;97.7169;16.3319;20.981;20.981;1;85.6173;31.0494;196.852;79.6914;30.3086;79.6914;79.5093;18.6574;25.5278;4.85278;19.8769;12.9806
93;98.561;16.3319;20.2051;20.2051;1;171.667;58.3333;171.667;77.2222;38.3333;71.6667;66.75;13.75;25.5278;3.375;16.675;18.8917
94;127.442;16.3319;30.0821;30.0821;1;31.0494;196.852;33.1481;64.2593;30.9259;30.3086;1.97222;1.97222;0.990741;0.419444;13.4731;0.173148
95;105.486;16.3319;22.0911;22.0911;1;33.1481;196.852;89.8148;79.6914;30.3086;30.3086;37.3056;0.990741;0.990741;0.419444;11.5028;0.419444
96;95.8368;16.3319;19.4715;19.4715;1;171.667;77.2222;171.667;77.2222;38.3333;71.6667;66.75;22.5833;63.8056;1.15833;16.675;16.675
97;110.428;16.3319;21.4745;21.4745;1;77.2222;146.481;190.556;77.2222;34.6296;43.8889;72.6389;7.86111;78.5278;1.15833;18.8917;18.8917
98;114.061;16.3319;24.7474;24.7474;1;58.3333;171.667;146.481;66.1111;60.5556;34.6296;57.9167;22.5833;1.97222;5.59167;14.4583;1.15833
99;101.193;16.3319;22.2153;22.2154;1;196.852;31.0494;161.173;64.2593;79.6914;79.6914;54.9722;79.5093;26.5093;6.57685;17.4139;19.6306
100;103.193;16.3319;28.4272;28.4272;1;177.963;45.7407;58.3333;38.3333;71.6667;55;13.75;72.6389;57.9167;16.675;3.375;16.675
101;102.819;16.3319;31.2077;31.2077;1;171.667;77.2222;115;38.3333;66.1111;38.3333;13.75;66.75;10.8056;16.675;3.375;10.025
102;103.154;16.3319;22.8275;22.8275;1;85.6173;33.1481;171.667;69.1975;79.0741;79.6914;38.287;25.5278;78.5278;6.57685;17.4139;19.8769
103;143.64;16.3319;22.5882;22.5882;1;171.667;152.778;58.3333;38.3333;71.6667;71.6667;13.75;62.8241;34.3611;16.675;3.375;12.2417
104;111.527;16.3319;32.7352;32.7352;1;58.3333;171.667;171.667;55;32.7778;71.6667;40.25;75.5833;4.91667;3.375;16.675;16.675
105;98.7123;16.3319;22.8302;22.8302;1;85.6173;33.1481;196.852;65.4938;79.6914;79.6914;69.6944;25.5278;78.5278;19.6306;19.6306;19.8769
106;106.368;16.3319;21.9978;21.9978;1;196.852;31.0494;192.654;69.1975;79.6914;79.6914;72.6389;26.5093;78.5278;6.57685;17.9065;19.6306
107;109.217;16.3319;21.1756;21.1756;1;190.556;152.778;171.667;66.1111;43.8889;77.2222;40.25;25.5278;78.5278;1.89722;18.8917;18.8917
108;101.13;16.3319;24.7785;24.7785;1;171.667;77.2222;39.4444;55;77.2222;40.1852;13.75;75.5833;57.9167;16.675;3.375;7.80833
109;102.322;16.3319;21.3463;21.3463;1;39.4444;190.556;96.1111;79.0741;32.7778;49.4444;78.5278;4.91667;4.91667;0.419444;16.675;1.15833
110;111.371;16.3319;24.186;24.186;1;58.3333;39.4444;171.667;71.6667;40.1852;49.4444;40.25;37.3056;13.75;3.375;10.025;7.80833
111;101.433;16.3319;21.0778;21.0778;1;68.8272;33.1481;196.852;79.6914;30.3086;79.0741;79.5093;18.6574;79.5093;0.419444;19.8769;19.6306
112;114.033;16.3319;21.5522;21.5522;1;152.778;39.4444;190.556;77.2222;30.9259;77.2222;75.5833;4.91667;22.5833;1.15833;18.8917;14.4583
113;98.5732;16.3319;20.2466;20.2466;1;196.852;33.1481;198.951;74.7531;79.6914;79.6914;71.6574;79.5093;79.5093;19.6306;16.1824;19.6306
114;107.923;16.3319;137.339;137.339;1;171.667;58.3333;115;38.3333;55;38.3333;13.75;66.75;57.9167;16.675;3.375;3.375
115;109.517;16.3319;31.6957;31.6957;1;171.667;58.3333;58.3333;38.3333;71.6667;32.7778;13.75;66.75;75.5833;3.375;3.375;13.7194
116;106.312;16.3319;25.6237;25.6237;1;83.5185;33.1481;196.852;64.2593;43.8889;79.6914;52.0278;25.5278;78.5278;6.33056;10.7639;19.6306
117;107.766;16.3319;23.0036;23.0037;1;66.7284;89.8148;140.185;71.6667;79.0741;79.0741;79.5093;44.1759;53.0093;4.11389;10.7639;19.6306
118;108.892;16.3319;24.5518;24.5518;1;169.568;142.284;31.0494;30.3086;79.6914;30.9259;0.990741;79.5093;54.9722;19.6306;0.173148;7.06944
119;105.1;16.3319;20.9498;20.9498;1;58.3333;177.963;58.3333;71.6667;71.6667;71.6667;40.25;10.8056;40.25;3.375;16.675;16.675
120;99.6549;16.3319;21.5368;21.5369;1;198.951;31.0494;180.062;64.2593;45.7407;79.0741;54.9722;78.5278;78.5278;6.57685;18.8917;19.8769
121;102.5;16.3319;23.4026;23.4026;1;190.556;33.1481;83.5185;30.9259;79.0741;79.0741;10.8056;78.5278;78.5278;18.8917;5.59167;19.6306
122;140.734;16.3319;22.53;22.53;1;171.667;171.667;115;38.3333;77.2222;53.7654;13.75;72.6389;66.75;16.675;3.375;16.675
123;101.263;16.3319;26.2579;26.2579;1;58.3333;165.37;171.667;55;43.8889;71.6667;57.9167;22.5833;77.5463;3.375;10.025;12.2417
124;100.265;16.3319;22.0728;22.0728;1;33.1481;196.852;146.481;79.0741;30.9259;47.5926;40.25;1.97222;1.97222;0.419444;10.2713;13.7194
125;106.121;16.3319;21.2136;21.2136;1;198.951;33.1481;173.765;69.8148;46.358;79.0741;69.6944;79.5093;78.5278;12.9806;15.9361;19.8769
126;100.81;16.3319;22.1292;22.1292;1;58.3333;171.667;171.667;71.6667;71.6667;71.6667;40.25;43.1944;78.5278;3.375;10.025;9.28611
127;105.692;16.3319;22.1706;22.1706;1;196.852;33.1481;184.259;69.8148;73.5185;71.6667;67.7315;52.0278;78.5278;6.33056;17.4139;18.1528
128;107.146;16.3319;24.2357;24.2357;1;58.3333;96.1111;115;71.6667;55;71.6667;66.75;43.1944;4.91667;10.025;10.025;12.2417
129;110.916;16.3319;22.7847;22.7847;1;140.185;33.1481;190.556;66.1111;45.7407;79.0741;57.9167;78.5278;75.5833;6.33056;16.675;18.8917
130;112.642;16.3319;21.376;21.376;1;115;58.3333;171.667;77.2222;38.3333;73.5185;66.75;22.5833;75.5833;10.025;16.675;14.4583
131;106.52;16.3319;36.8318;36.8318;1;146.481;58.3333;83.5185;43.8889;63.642;36.4815;10.8056;13.75;7.86111;0.419444;1.89722;6.33056
132;97.6549;16.3319;37.2732;37.2732;1;144.383;52.037;83.5185;32.1605;64.2593;40.1852;9.82407;37.3056;13.75;9.7787;6.33056;6.33056
133;100.523;16.3319;38.0213;38.0214;1;33.1481;33.1481;196.852;30.9259;64.2593;32.7778;1.97222;60.8611;52.0278;0.419444;6.33056;6.33056
134;17.7136;16.3319;69.0505;69.0505;1;198.951;56.2346;144.383;38.3333;36.4815;30.9259;25.5278;28.4722;14.7315;19.6306;2.38981;19.8769
135;11.864;11.864;71.7288;71.7288;1;83.5185;52.037;198.951;38.3333;30.9259;42.037;14.7315;41.2315;67.7315;4.11389;4.36019;6.33056
136;106.072;11.864;107.527;107.527;1;194.753;33.1481;83.5185;31.5432;30.3086;51.2963;78.5278;25.5278;17.6759;6.57685;1.89722;6.57685
137;15.5789;11.864;66.7153;66.7153;1;146.481;58.3333;196.852;34.6296;30.9259;30.9259;28.4722;25.5278;69.6944;5.59167;6.33056;12.9806
138;15.4443;11.864;66.9783;66.9783;1;146.481;62.5309;198.951;32.7778;30.9259;33.3951;10.8056;54.9722;44.1759;4.36019;6.33056;19.6306
139;101.124;11.864;50.1992;50.1992;1;31.0494;49.9383;198.951;56.2346;30.3086;40.1852;1.97222;7.86111;78.5278;1.15833;6.33056;6.57685
140;18.6045;11.864;67.3381;67.3381;1;196.852;52.037;196.852;38.3333;30.3086;37.716;17.6759;69.6944;50.0648;4.36019;3.375;6.57685
141;100.39;11.864;28.2932;28.2932;1;198.951;33.1481;165.37;52.5309;30.9259;43.2716;43.1944;17.6759;16.6944;6.33056;10.7639;6.57685
142;98.9821;11.864;32.6649;32.6649;1;89.8148;58.3333;196.852;35.8642;64.2593;40.1852;29.4537;26.5093;69.6944;0.173148;4.36019;0.173148
143;103.957;11.864;28.1734;28.1734;1;198.951;87.716;31.0494;30.3086;79.0741;41.4198;0.990741;63.8056;28.4722;0.419444;0.173148;0.173148
144;18.3307;11.864;66.96;66.96;1;196.852;31.0494;198.951;30.3086;30.3086;30.3086;1.97222;1.97222;1.97222;0.173148;0.173148;0.173148
