iter;Cost;Best Cost;sim_time;eval_time;valid_runs;kp_pos_x;kp_pos_y;kp_pos_z;kd_pos_x;kd_pos_y;kd_pos_z;kp_or_x;kp_or_y;kp_or_z;kd_or_x;kd_or_y;kd_or_z
172;7.36839;6.65793;70.8231;70.8231;1;152.778;96.1111;196.852;32.1605;30.3086;30.3086;10.8056;78.5278;71.6574;4.85278;0.419444;0.419444
173;7.03175;6.65793;69.4684;69.4684;1;39.4444;190.556;171.667;38.3333;38.3333;32.7778;13.75;22.5833;75.5833;10.025;16.675;16.675
174;7.38077;6.65793;70.9155;70.9155;1;31.0494;131.79;198.951;30.3086;40.1852;30.3086;23.5648;46.1389;78.5278;19.6306;12.9806;1.89722
175;117.186;6.65793;26.2235;26.2236;1;39.4444;39.4444;133.889;71.6667;75.3704;43.8889;22.5833;4.91667;75.5833;18.8917;18.8917;18.8917
176;102.185;6.65793;24.0749;24.0749;1;138.086;196.852;35.2469;47.5926;79.6914;46.9753;0.990741;28.4722;78.5278;19.6306;13.7194;7.06944
177;7.68065;6.65793;68.9271;68.9271;1;152.778;190.556;188.457;36.4815;42.037;32.7778;13.75;25.5278;54.9722;13.4731;2.38981;0.173148
178;112.924;6.65793;28.8167;28.8167;1;33.1481;123.395;64.6296;55;72.284;48.8272;22.5833;53.9907;78.5278;19.6306;13.2269;17.1676
179;106.76;6.65793;22.613;22.613;1;198.951;198.951;33.1481;63.0247;79.0741;63.0247;1.97222;0.990741;72.6389;17.9065;13.4731;15.4435
180;7.68916;6.65793;68.8848;68.8848;1;33.1481;58.3333;196.852;53.1481;38.9506;34.0123;72.6389;54.9722;78.5278;19.8769;19.8769;6.57685
181;6.94099;6.65793;71.9913;71.9913;1;108.704;115;52.037;38.3333;38.3333;38.3333;4.91667;69.6944;66.75;13.9657;18.1528;10.025
182;100.869;6.65793;54.3034;54.3034;1;125.494;39.4444;198.951;47.5926;30.9259;52.5309;27.4907;79.5093;52.0278;19.6306;7.06944;18.3991
